"year_of_release","budget","revenue"
"1913","5700","1800000"
"1914","22329","1729009"
"1915","38723","2835507"
"1916","201494","3284256"
"1918","84333","3467667"
"1919","24000","2233843"
"1920","23600","1541802"
"1921","270684","1700969"
"1922","425000","187085"
"1923","60500","1067000"
"1924","388037","776343"
"1925","414963","2773802"
"1926","553065","1083697"
"1927","779315","1330782"
"1928","314755","1804248"
"1929","417583","2582553"
"1930","627676","2952793"
"1931","517000","2180752"
"1932","452744","1405923"
"1933","454630","2446322"
"1934","441890","1407784"
"1935","503233","2965340"
"1936","840377","2030700"
"1937","972895","1917515"
"1938","1322409","15640057"
"1939","1974911","33415434"
"1940","1095654","14727254"
"1941","570771","3827224"
"1942","611230","13162406"
"1943","1284707","4265356"
"1944","1145254","21982627"
"1945","1049833","4516112"
"1946","1401846","8260622"
"1947","1498630","2805403"
"1948","1797509","3076850"
"1949","1243000","2816613"
"1950","1050423","16110186"
"1951","1358743","5279314"
"1952","1129272","5090730"
"1953","1202275","8837910"
"1954","1500795","9109099"
"1955","1196742","4056325"
"1956","1690349","9675399"
"1957","1283589","10556463"
"1958","976854","4008763"
"1959","1739404","10123018"
"1960","1733995","8416750"
"1961","1495393","12828027"
"1962","3770811","13285934"
"1963","3648661","15994564"
"1964","2055783","13329007"
"1965","2041049","15013418"
"1966","2532045","8744848"
"1967","2414819","22051521"
"1968","2668784","11777916"
"1969","2557802","14429467"
"1970","4760740","17587214"
"1971","2040498","14515635"
"1972","1710484","22650976"
"1973","2027418","33202579"
"1974","1841286","19672886"
"1975","2444442","23517116"
"1976","3195712","23856381"
"1977","4458203","43012237"
"1978","4338817","28727517"
"1979","5674977","28628749"
"1980","5887672","25201795"
"1981","6397014","21217428"
"1982","5781097","23460346"
"1983","5862851","23156657"
"1984","6888044","23077774"
"1985","7099951","25337527"
"1986","6949243","20042418"
"1987","6215262","20520230"
"1988","6726512","22716111"
"1989","8874352","30463661"
"1990","10568641","37434126"
"1991","10372652","28832925"
"1992","11222280","36281918"
"1993","11182114","33658118"
"1994","14104752","41340785"
"1995","15980457","42966910"
"1996","18346412","42442166"
"1997","21026761","52510523"
"1998","19096147","43934371"
"1999","22679724","48352879"
"2000","20185178","43645886"
"2001","21065397","49323380"
"2002","18427841","47228625"
"2003","18219768","48366466"
"2004","18449176","46680723"
"2005","16915280","40167919"
"2006","15820953","38358142"
"2007","15176214","39687452"
"2008","16595246","43118254"
"2009","15692017","44482043"
"2010","16104907","43385298"
"2011","14884933","42262582"
"2012","13374393","41955586"
"2013","15096189","46706688"
"2014","13007070","44146426"
"2015","13537175","48474796"
"2016","14509364","45807976"
"2017","12174166","45075406"
"2018","12353560","47521743"
"2019","12305455","47035662"
"2020","7274517","14008853"
"2021","12584761","29825328"
"2022","10136426","31158254"
"2023","10760625","27684428"
"2024","7632743","23923166"
"2025","10960417","27941367"